,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,titleId,ordering,region,language,types,attributes,isOriginalTitle,averageRating,numVotes
4986,s8063,TV Show,Space Racers,,"Yuri Lowenthal, Meyer DeLeeuw, Johnny Yong Bosch, Phil Lollar, Alicyn Packard, Melissa Hutchison, Joseph J. Terry, Danny Katiana, Katie Leigh",United States,31-Mar-20,2014,TV-Y,1 Season,Kids' TV,"Spaceships Eagle, Robyn, Hawk and their pals at the Stardust Space Academy rocket through the galaxy, teaching kids about the wonders of science.",tt2542954,10,CA,fr,imdbDisplay,\N,0,7.3,82
4987,s8064,Movie,Sparkle,Sam O'Steen,"Tony King, Mary Alice, Irene Cara, Dorian Harewood, Paul Lambert, Beatrice Winde, Lonette McKee",United States,1-Nov-19,1976,PG,98 min,"Dramas, Music & Musicals","In 1950s Harlem, three singing sisters hit the big time and end up losing one another in this musical melodrama inspired by the Supremes.",tt0075249,1,US,\N,imdbDisplay,\N,0,6.7,1641
4988,s8065,TV Show,Spartacus,,"Andy Whitfield, Liam McIntyre, Dustin Clare, John Hannah, Manu Bennett, Lucy Lawless, Peter Mensah, Nick E. Tarabay, Viva Bianca, Lesley-Ann Brandt, Jai Courtney, Daniel Feuerriegel",United States," February 1, 2015",2013,TV-MA,4 Seasons,"TV Action & Adventure, TV Dramas","A Thracian man is condemned to a brutal death in the arena, only to outlast his executioners and be reborn as the enslaved gladiator Spartacus.",tt0045183,3,BE,fr,imdbDisplay,\N,0,5.9,143
4989,s8066,Movie,Speech & Debate,Dan Harris,"Liam James, Sarah Steele, Austin McKenzie, Roger Bart, Janeane Garofalo, Wendi McLendon-Covey, Kal Penn, Kimberly Williams-Paisley, Skylar Astin, Edgar Arreola, Sarah Baker",United States,6-Jul-17,2017,PG-13,96 min,"Comedies, Dramas, Independent Movies","Fed up with the hypocrisy of the adults around them, three creative high school misfits revive an old debate club as a way to fight back.",tt11724696,1,US,\N,imdbDisplay,\N,0,6,14
4990,s8067,Movie,Speed Is My Need,Mark Sloper,,United Kingdom,9-Jan-20,2019,TV-14,75 min,"Documentaries, Sports Movies","This daredevil documentary trails behind and into the minds of the biggest names in one of the world's most dangerous sports, superbike racing.",tt10379012,1,\N,\N,original,\N,1,5.8,57
4991,s8068,Movie,Spider-Man 3,Sam Raimi,"Tobey Maguire, Kirsten Dunst, James Franco, Thomas Haden Church, Topher Grace, Bryce Dallas Howard, Rosemary Harris, J.K. Simmons, James Cromwell, Theresa Russell, Dylan Baker, Bill Nunn, Bruce Campbell, Elizabeth Banks",United States,1-Nov-19,2007,PG-13,139 min,"Action & Adventure, Sci-Fi & Fantasy",The seemingly invincible Spider-Man goes up against an all-new crop of villains in the third installment of the blockbuster adventure series.,tt0413300,10,IT,\N,imdbDisplay,\N,0,6.2,570924
4992,s8069,Movie,Spider-Man: Into the Spider-Verse,"Peter Ramsey, Rodney Rothman, Bob Persichetti","Shameik Moore, Jake Johnson, Hailee Steinfeld, Brian Tyree Henry, Lauren Vélez, Mahershala Ali, Lily Tomlin, Kathryn Hahn, Liev Schreiber, Kimiko Glenn, Nicolas Cage, John Mulaney",United States,26-Jun-19,2018,PG,117 min,"Action & Adventure, Comedies","After being bitten by a radioactive spider, Brooklyn teen Miles Morales gets a crash course in web-slinging from his alternate-dimension counterparts.",tt4633694,12,IN,hi,imdbDisplay,\N,0,8.4,484789
4993,s8070,Movie,Spitfire: The Plane that Saved the World,"David Fairhead, Anthony Palmer",Charles Dance,United Kingdom,1-Nov-19,2018,TV-14,95 min,Documentaries,"In this epic documentary, last-surviving veterans trace the history of a legendary fighter aircraft that dominated the air during the Battle of Britain.",tt5913184,2,AU,\N,\N,complete title,0,7.5,1070
4994,s8072,Movie,Spotlight,Tom McCarthy,"Mark Ruffalo, Michael Keaton, Rachel McAdams, Liev Schreiber, John Slattery, Brian d'Arcy James, Stanley Tucci, Billy Crudup, Paul Guilfoyle, Jamey Sheridan",United States,22-Jul-20,2015,R,129 min,"Dramas, Independent Movies",A team of reporters and editors at the Boston Globe relentlessly investigate a shocking child molestation cover-up by the Catholic Church.,tt11646742,1,US,\N,\N,\N,0,6.8,80
4995,s8073,Movie,Spring Breakers,Harmony Korine,"James Franco, Vanessa Hudgens, Selena Gomez, Ashley Benson, Rachel Korine, Jeff Jarrett, Gucci Mane, Heather Morris, Ash Lendzion, Emma Holzer","United States, France",10-Jan-21,2012,R,94 min,"Comedies, Cult Movies, Dramas","Four cash-strapped college women run afoul of the law — and fall in with a shady hustler — as they join the annual rite of bikinis, beer and debauchery.",tt2101441,10,SE,\N,imdbDisplay,\N,0,5.3,141082
